id,title,deliverableType,description,projectID,projectAcronym,url,collection,contentUpdateDate,rcn
101113151_23_DELIVHORIZON,Data Base Network Front End_1,Other,This includes a visualisation of the DB of courses and meta-data in form of a network and a Dashboard to analyse the information at different levels and dimensions.,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674a101&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068402
101113151_1_DELIVHORIZON,Data Management Guidelines,"Documents, reports",Guidlines supporting partners in creating a common joint managment data approach.,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506747632&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068396
101113151_26_DELIVHORIZON,2023 Data Base Analysis Report,"Documents, reports",Insights and findings resulting from the analysis of the DB of courses,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506749a68&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068397
101113151_14_DELIVHORIZON,2023 Report on Evaluation of the AI Challenges,"Documents, reports","Report on the Evaluation of the handed in Challenges and the evaluation of their excellence, impact and objective.",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674a826&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068403
101113151_17_DELIVHORIZON,2023 Report on the AI Challenges POC final results,"Documents, reports",Report on the Results from the AI Challenges and the implementation of the technologies.,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674a9e3&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068401
101113151_36_DELIVHORIZON,Report on AI Conformity Check_1,"Documents, reports",Report on the use and learnings out of the Methodology/System,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674cab9&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068404
101113151_6_DELIVHORIZON,Synergies Catalyser Report 2023,"Documents, reports","The report identifies potentail synergies across WPs but also KICs based on the thematic areas, topics and activities performed by the partners",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5067492e7&appId=PPGMS,Project deliverable,2024-03-28 14:30:07,1068420
101113151_58_DELIVHORIZON,2023 Report on Co-Create NEB projects implementation,"Documents, reports","Co-Create NEB projects, methodologies, next steps & lessons learnt",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1b710&appId=PPGMS,Project deliverable,2024-03-28 14:30:06,1068411
101113151_2_DELIVHORIZON,EIT CSS Progress Report 2023,"Documents, reports",Yearly produced summary of the implemented activities by partrners in the framework of the Strategic Synergies Cluster,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506747bfe&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068398
101113151_67_DELIVHORIZON,2023 Report Enhance NEB implementation,"Documents, reports","Report on Enhancez NEB implementation, methodologies & lessons learnt",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1d430&appId=PPGMS,Project deliverable,2024-03-28 14:30:06,1068412
101113151_49_DELIVHORIZON,2023 Ignite NEB events,"Documents, reports","Ignite NEB events, methodologies & lessons learntSelection",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1c0d1&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068389
101113151_61_DELIVHORIZON,2023 Report on Connect NEB projects implementation,"Documents, reports","Report on the Connect NEB projects, methodologies, next steps & lessons learnt",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51114154c&appId=PPGMS,Project deliverable,2024-09-02 16:08:14,1161397
101113151_32_DELIVHORIZON,2023 Report AI Deep Tech Talent Tool,"Documents, reports",Analysis of the deployment status of the DTT Tool,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674a9e6&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068405
101113151_55_DELIVHORIZON,2023 Active MakerSpaces,"Documents, reports","MakerSpaces activity and results, methodologies & lessons learnt",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1bbf8&appId=PPGMS,Project deliverable,2024-03-28 14:30:07,1068417
101113151_70_DELIVHORIZON,2023 Pool of NEB Mentors and Coaches,"Documents, reports","Pool of NEB Mentors and Coaches, call guidelines & selection process, coordination coaches/mentors",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1cb88&appId=PPGMS,Project deliverable,2024-03-28 14:30:06,1068413
101113151_41_DELIVHORIZON,AIC website,"Websites, patent fillings, videos etc.",Ai.eitcommunity.eu website restructured & to increase disseminatio and communication outreach of AI Community,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674dd9f&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068408
101113151_20_DELIVHORIZON,Data Base of courses_1,"Data sets, microdata, etc","DB of courses with a subset of fields to identify and categorise them, tagged with the corresponding skills (from ESCO) and the development stage where they can be useful.",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fde6f451&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068400
101113151_43_DELIVHORIZON,2023 NEB start-ups,"Documents, reports","Selection and acceleration of NEB start-ups, lessons learnt & conclusions",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1ae3a&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068393
101113151_5_DELIVHORIZON,"Dissemination, Communication, Exploitation Action Plan (DECAP)",Data Management Plan,Document produced by the EIT Community Synergies Cluster Task Force on Comms to set common practices in communication efforts - this document includes feedback and discsussions carried out with other Clusters (Review in M18),101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fdc8d118&appId=PPGMS,Project deliverable,2024-03-28 14:30:06,1068414
101113151_110_DELIVHORIZON,2023 EIT Community NEB communication,"Documents, reports",EIT Community NEB communication,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50b068e4d&appId=PPGMS,Project deliverable,2024-08-26 14:16:26,1158251
101113151_76_DELIVHORIZON,Start-up catalogue_1,"Websites, patent fillings, videos etc.","List of start-ups participating in the activities and willing to showcase: RocketUp, Investors Community and Data Room",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1cf62&appId=PPGMS,Project deliverable,2024-03-28 14:30:07,1068424
101113151_79_DELIVHORIZON,Selection of start-ups_1,"Documents, reports",List of start-ups selected to participate in all activities,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1cf67&appId=PPGMS,Project deliverable,2024-03-28 14:30:07,1068423
101113151_38_DELIVHORIZON,2023 AI Community Annual report,"Documents, reports","Collection of relevant achievements, solutions and ideas generated by the AI Community",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506972fd7&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068406
101113151_73_DELIVHORIZON,2023 WE Final report,"Documents, reports","Report showcasing and summarizing the execution of activities, results, and insights",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1dcb3&appId=PPGMS,Project deliverable,2024-03-28 14:30:07,1068426
101134908_6_DELIVHORIZON,Ethics review,"Documents, reports","The package lead will conduct a review of all action plan items on the subject of core compliance with applied (medical, business, and environmental) ethics principles such as beneficence, autonomy, do no harm, and justice. Resulting recommendations will be fed back into the working groups to incorporate into the final actions plan, aswell as serve as the basis for the ethics report",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e515447a61&appId=PPGMS,Project deliverable,2024-12-09 12:38:10,1227671
101134908_3_DELIVHORIZON,Project website,"Websites, patent fillings, videos etc.","The BIOCONNECT website will serve as the focal point for communication activities, containing definitive information about the objectives, scope, members, and progress of the project - as well as acting as a lead generator (primarily through content marketing and email subscriber capture forms, see details in 2.2). The website will be regularly updated with fresh content throughout the project.",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5142cc1a9&appId=PPGMS,Project deliverable,2025-02-17 17:29:09,1253344
101134908_8_DELIVHORIZON,Inclusiveness and diversity report,"Documents, reports","During the final months of the project the package lead, in cooperation with leads of WP5 and WP6, will assess the correspondence of the dissemination activities with the core diversity principles including the choice of communication channels and assets to target a maximally broad and diverse audience. This task will also entail preparation of the final diversity and inclusiveness report for the project.",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e515447e4d&appId=PPGMS,Project deliverable,2024-12-09 12:38:10,1227676
101134908_10_DELIVHORIZON,Dissemination and outreach report,"Documents, reports",The report describing the dissemination and outreach actions taken during the implementation of the project,101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e517f94022&appId=PPGMS,Project deliverable,2025-02-17 17:29:12,1253358
101134908_5_DELIVHORIZON,List of innovation action items,"Documents, reports","The package lead will collect all ideas/proposals and compile an unstructured list of innovation action items in line with the project’s objectives, formulating each item according to the needs of the ecosystem stakeholders. See section 1.1 of this application for a review of ecosystem stakeholder needs and resulting possible action plan items",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5142cb2e9&appId=PPGMS,Project deliverable,2025-02-17 17:29:10,1253348
101134908_7_DELIVHORIZON,Innovation action plan,"Documents, reports","The finished action items will be compiled into the final draft of the Baltic-Finnish biotech innovation action plan and presented by the work package lead to the entire consortium and relevant third parties during an online session; the ensuing discussions will result in the final version of the action plan, in the form of a written document.",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e517f22c60&appId=PPGMS,Project deliverable,2025-02-17 17:29:12,1253357
101134908_2_DELIVHORIZON,Data management plan,Data Management Plan,The consortium is keen on respect of legal frameworks and good practices in terms of data management (GDPR). Each action will be controlled to satisfy the EC recommendations on each parameter. The Data Management Plan will be set up by M3 and the Data Protection Officer will be nominated.,101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5142cc309&appId=PPGMS,Project deliverable,2024-11-18 14:02:07,1199854
101134908_1_DELIVHORIZON,Dissemination plan,"Documents, reports","A comprehensive communication strategy will be designed by setting the main objectives, defining KPIs, and identifying the best channels and activities to reach each target audience. The strategy will also include an evaluation framework based on the defined KPIs, to be used to perform the final evaluation regarding the achievement of the foreseen objectives - useful for further development and implementation of the action plan.",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5142cde56&appId=PPGMS,Project deliverable,2024-11-18 14:02:07,1199859
101134908_4_DELIVHORIZON,Report summarising the Baltic/Finnish biotech status,"Documents, reports","The final report for the WP1 will provide an overview of the emerging innovation ecosystem (Latvia), moderate innovation ecosystem (Lithuania and Estonia) compared to leading innovation ecosystem (Finland). This report will demonstrate weaknesses to tackle, best practices to share (matrix of best practices), as well as areas for tighter regional cooperation. The report will be used later in WP3 as a base for the innovation action plan. Additionally, the report will be published on the project website making it available for all interested parties (investors, public institutions, consultants etc)",101134908,BIOCONNECT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5142cc45e&appId=PPGMS,Project deliverable,2025-02-17 17:29:10,1253352
101122276_51_DELIVHORIZON,D8.1 - Project Management Plan,"Documents, reports","This deliverable serves as the core management handbook and describes the structure that will provide guidelines for the project manager and the project members to follow during the full cycle of the project. The handbook will set out the governance structure (e.g. responsibilities of partners, lead roles, etc.) as well as the mechanisms and tools (e.g. mailing lists, gantt chart, WBS, reporting etc.) used for the management and administrative coordination of the project. In doing so, it will defined the communication processes within the consortium as well as to the EC and outline the consortium's formal communication of the project's activities and outcomes. It will also be detailed the decision making process, the acceptance criteria of deliverables among the consortium members, project risk management and other day to day specificities that may influence projects implementation and quality. It is foreseen in each periodic meeting, to take place before the two interim report periods, a revision and update of this deliverable. Furthemore may one of the parties feel the need for further revisions may take place.The PO will be notified one month before the updates to reopen the deliverable",101122276,MSA-Trough,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e515eb6c22&appId=PPGMS,Project deliverable,2025-01-20 13:52:52,1243112
101122276_47_DELIVHORIZON,D7.2 - Plan for dissemination and exploitation including communication activities,"Documents, reports","""The Plan for Dissemination Exploitation and Communication (PDEC) of the project aims at maximizing MSA-Trough impact by establishing a set of different dissemination  and communication activities:- Dissemination activities (making results public): targeting not only the scientific community but also the indirect beneficiaries which might learn/use project results, these actions rely in FAIR and Open Access principles and take place from the moment the project starts producing results and go until the project end. Examples of such activities include e.g. scientific publications or communications or experimental datasets;- Exploitation activities (make concrete use of results): targeting the stakeholders which might take part in the exploitation of the project results towards the foreseeable outcomes (e.g. industry in the development of new products), these actions might rely in the Protection of Intellectual Property and take place from the end of the project (or as soon as there are exploitable results). Examples of such activities include e.g. roadmaps, patents, prototypes, regulatory recommendations, experimental datasets;- Communication activities (promote actions and results): targeting a widespread audience (stakeholders, citizens) and at engaging with stakeholders, experts, market and public as to raise awareness and show the success of European collaboration, these actions rely on public media (social media, web-based communication, tv, radio, newspapers) and take place from the moment the project starts until its end. Examples of such activities include e.g. website, newsletters, TV or radio interviews or newspaper articles.The coherent implementation of these impact maximizing measures follows the Integrated CD (Communication and Dissemination) Plan. To be followed along the project, this plan will describe Dissemination and Communication activities and procedures, as well as a list of all related documents and tools used in the framework of their implementation, to deliver and exploit the global message “MSA-Trough collectors will become the most economic technology for process heat generation, with a LCOH estimated at 2-3 €Cent/kWhth"""".""",101122276,MSA-Trough,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50a9f3931&appId=PPGMS,Project deliverable,2025-01-20 13:52:53,1243114
101122276_46_DELIVHORIZON,D7.1 - MSA-Trough website and communication materials,"Websites, patent fillings, videos etc.","Report on elaboration of MSA-Trough website and communication materials. A set of communication materials (related to project visibility) will be defined and aggregated, including the set up of a website to create awareness and disseminate information about MSA-Trough main activities and results. Following EU guidelines, the website and other materials  will be easy to use, and will follow best practice in accessibility for disabled users. SEO (Search Engine Optimization) and SEM (Search Engine Marketing) strategies will be applied so the contents in the website respond to usual searching strategies, making sure that users can easily reach the project portal. Metrics: traffic, visit duration, bounce rate, web positioning. The website will also have a restricted area for the project members to share any confidential data.",101122276,MSA-Trough,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e507f6b1cb&appId=PPGMS,Project deliverable,2025-01-20 13:52:53,1243116
101126554_7_DELIVHORIZON,Call 1 – Link to Euraxess website,Other,"Inform the Project Officer on publishing each call for proposals, by sending the link to the Euraxess website and a screen shot of the related call announcement.» check also Milestones",101126554,MathPhDInFrance,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50c14f044&appId=PPGMS,Project deliverable,2024-06-17 13:33:21,1111112
101126554_8_DELIVHORIZON,Call 2 – Link to Euraxess website,Other,"Inform the Project Officer on publishing each call for proposals, by sending the link to the Euraxess website and a screen shot of the related call announcement.>> check also Milestones",101126554,MathPhDInFrance,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e516469d12&appId=PPGMS,Project deliverable,2024-12-30 11:32:07,1235815
101126554_9_DELIVHORIZON,Call 1 – Report on dissemination activities,"Documents, reports","- Dates/Interval of call publication and dissemination channels/means (supporting documents are required as images, screen shots, photos from events).- Flyers, brochures, or other information produced for dissemination of the call- Presentations held at conferences and/or meetings and/or other events- Articles published in the press (please list and attach only main articles)- Any other means for advertising the programme",101126554,MathPhDInFrance,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50fec2824&appId=PPGMS,Project deliverable,2024-08-06 15:04:04,1142463
101119457_26_DELIVHORIZON,Website,"Websites, patent fillings, videos etc.",Project website M2,101119457,IgG4-TREAT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e502c54154&appId=PPGMS,Project deliverable,2023-11-06 15:02:29,998414
101119457_31_DELIVHORIZON,Advertisement of vacancies,Other,Advertisement of vacancies for Rs promoted,101119457,IgG4-TREAT,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50391e1db&appId=PPGMS,Project deliverable,2023-11-06 15:02:27,998400
101119738_6_DELIVHORIZON,Website,"Websites, patent fillings, videos etc.",Project website,101119738,MetacMed,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50cff622f&appId=PPGMS,Project deliverable,2024-09-23 11:18:19,1168511
101098996_31_DELIVHORIZON,Complementary Communication kit,"Documents, reports","In addition to D6.1, this deliverable will gather complementary traditional communication tools to promote the project at dissemination events/ conferences: poster/roll-over. (From Task 6. 1)",101098996,FITNESS,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e502053e45&appId=PPGMS,Project deliverable,2024-10-08 16:28:27,1174037
101098996_2_DELIVHORIZON,Data Management Plan - Issue 1,Data Management Plan,"Reference document detailing the standards of data storage, access and management, in order to maximise access to and re‐use of research data generated by the project (from Task 1.3)",101098996,FITNESS,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e501ef0c0c&appId=PPGMS,Project deliverable,2024-10-08 16:28:26,1174029
101098996_29_DELIVHORIZON,Website and Logo,"Documents, reports","This deliverable will gather the “corporate identity” (logo, graphical chart), LinkedIn page (with regular posts and video interviews of project stakeholders), and public website (promoted by a specific teaser posted on social media). Registered under “.eu “ domain, this website will be continuously updated during the lifetime of the project (From Task 6. 1)",101098996,FITNESS,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fc75ab98&appId=PPGMS,Project deliverable,2024-10-08 16:28:22,1174011
101098996_30_DELIVHORIZON,Preliminary Communication & Dissemination Action Plan (CDAP),"Documents, reports","This plan, formed of a communication / dissemination strategy will be updated at the end of the project. The plan will include updates on the communication and dissemination activities, as well as impact metrics and channels/measures of communication and dissemination.(from Task 6.1)",101098996,FITNESS,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e502054426&appId=PPGMS,Project deliverable,2024-10-08 16:28:28,1174040
101137889_35_DELIVHORIZON,Data Management Plan,"Documents, reports",Data Management Plan. The DMP will be updated regularly as necessary.,101137889,PH2OTOGEN,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ad23608&appId=PPGMS,Project deliverable,2024-04-22 15:12:15,1082926
101137889_33_DELIVHORIZON,Online Workspace,"Documents, reports",Online Workspace,101137889,PH2OTOGEN,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5095050ce&appId=PPGMS,Project deliverable,2024-04-22 15:12:15,1082923
101129480_16_DELIVHORIZON,Report on main needs of UAM operators for safe and secure navigation,"Documents, reports",Main needs from the perspective of UAM operators,101129480,GAUSSIAN,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50de47417&appId=PPGMS,Project deliverable,2024-08-19 10:05:07,1150979
101137889_27_DELIVHORIZON,Dissemination & Communication Plan (initial),"Documents, reports","Dissemination & Communication Plan (initial). The dissemination, exploitation and communication plan should be updated as necessary. The Clean Hydrogen JU may require the submission of an updated Dissemination, Exploitation and Communication Plan on an annual basis.",101137889,PH2OTOGEN,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50a20cffe&appId=PPGMS,Project deliverable,2024-04-22 15:11:47,1082911
101129480_17_DELIVHORIZON,System requirements document,"Documents, reports",List of documented system requirements,101129480,GAUSSIAN,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e510685d24&appId=PPGMS,Project deliverable,2024-08-16 13:42:10,1150868
